Actual Price,Predicted Price
0.231179282,0.2273259
0.233201385,0.22743675
0.228483468,0.23202865
0.225113586,0.22717582
0.225113586,0.22552392
0.223765403,0.22617249
0.223091528,0.22469358
0.219721496,0.22176722
0.219047397,0.22039099
0.219047397,0.21785888
0.222417399,0.21735726
0.224439591,0.22088522
0.225787491,0.22377504
0.221743584,0.22409442
0.221743584,0.22097525
0.222417399,0.22138448
0.222744688,0.22102675
0.223425731,0.22088522
0.222744688,0.22363985
0.2247881,0.22207268
0.228875265,0.22417021
0.230237454,0.2263417
0.234324366,0.22814588
0.23500599,0.23010008
0.23500599,0.23694102
0.234324366,0.23928985
0.239093006,0.23303461
0.238411501,0.23864783
0.237049177,0.23451793
0.237730607,0.23804499
0.237049177,0.2392669
0.232280999,0.23392951
0.235687032,0.22855797
0.238411501,0.23403601
0.237049177,0.23832601
0.238411501,0.23846687
0.241136372,0.23802844
0.239774138,0.24022675
0.236368224,0.23828325
0.239093006,0.23846687
0.237049177,0.23880048
0.243179992,0.23394835
0.246585652,0.23862676
0.248629436,0.23683688
0.247267127,0.2484231
0.249991417,0.2376874
0.247948065,0.25162855
0.245904505,0.24821664
0.247267127,0.23815203
0.249991417,0.24361303
0.247267127,0.25050318
0.246585652,0.2435097
0.245223507,0.24189171
0.244542301,0.24329647
0.242498592,0.24329647
0.243179992,0.24232307
0.243861079,0.24382754
0.243861079,0.23727891
0.244542301,0.24281096
0.241817474,0.24282874
0.239093006,0.24291833
0.238411501,0.2343274
0.238411501,0.2392669
0.239093006,0.2392669
0.235687032,0.23404647
0.236368224,0.23928985
0.228875265,0.23846687
0.229556248,0.22873946
0.229556248,0.22909461
0.229556248,0.22965772
0.232962251,0.22906363
0.23500599,0.23082846
0.235687032,0.2363799
0.23500599,0.23832601
0.23500599,0.23801935
0.232280999,0.23928985
0.232962251,0.23263931
0.230918765,0.23089299
0.228875265,0.23004892
0.226831689,0.22717582
0.229556248,0.2268487
0.228875265,0.22949207
0.228194162,0.22701436
0.228875265,0.22780512
0.226150408,0.22724265
0.226150408,0.22646391
0.228875265,0.22446488
0.232962251,0.22740982
0.231599972,0.23154573
0.229477406,0.22920536
0.229477406,0.23098981
0.226720825,0.23014216
0.22603175,0.22902049
0.224653408,0.22543478
0.221207991,0.224168
0.222586066,0.21980622
0.225342512,0.22038184
0.224653408,0.22322978
0.22603175,0.2247155
0.227409959,0.22455068
0.229477406,0.22771189
0.226720825,0.22979413
0.227409959,0.22708786
0.223275185,0.22691415
0.230166599,0.222799
0.226720825,0.22759444
0.227409959,0.22635666
0.227409959,0.22691415
0.22603175,0.2269222
0.223275185,0.22649151
0.219140485,0.22251245
0.215005755,0.21720743
0.215694994,0.21494366
0.214316636,0.21468608
0.217073187,0.21469237
0.219140485,0.21649282
0.221207991,0.21714729
0.219829664,0.21992376
0.219829664,0.22027138
0.222586066,0.21999237
0.220518723,0.22033483
0.2184515,0.22070484
0.219829664,0.21746396
0.219140485,0.22025545
0.215694994,0.21663775
0.215005755,0.21424279
0.212938413,0.2148756
0.212249339,0.21251749
0.212938413,0.21181849
0.210181907,0.21140683
0.203290761,0.2095369
0.203979775,0.20413153
0.206736252,0.20323034
0.207425326,0.20633505
0.206736252,0.20700972
0.205358192,0.2070787
0.206047162,0.20609176
0.206736252,0.20547366
0.213627681,0.20683712
0.215005755,0.21222703
0.212249339,0.21528311
0.213627681,0.2111502
0.213627681,0.21251749
0.212249339,0.21282966
0.21638386,0.21181849
0.215694994,0.21671343
0.215694994,0.21490383
0.217073187,0.21483676
0.213627681,0.21642229
0.214316636,0.21188465
0.215005755,0.21492174
0.221896946,0.21492174
0.22532922,0.22087774
0.224631503,0.22292112
0.221841037,0.22335418
0.217655405,0.22215311
0.213469699,0.21818659
0.214864999,0.21113375
0.215562657,0.21577093
0.215562657,0.21492174
0.216260314,0.21470833
0.214864999,0.21559678
0.214864999,0.21499726
0.216260314,0.21496975
0.216957793,0.21579917
0.213469699,0.216547
0.21137698,0.21193266
0.212772161,0.21073501
0.212772161,0.21282966
0.212074667,0.21282966
0.212074667,0.2102149
0.212772161,0.21061024
0.210679188,0.21142574
0.209981531,0.2110766
0.209981531,0.21072787
0.21137698,0.21138243
0.208586395,0.21090658
0.208586395,0.20883451
0.207888857,0.2086078
0.207888857,0.20832749
0.206493542,0.20835765
0.209981531,0.20542045
0.212074667,0.21096635
0.220445871,0.21163099
0.219748363,0.21964455
0.221143425,0.21894877
0.219050422,0.21928214
0.218353122,0.21663775
0.216957793,0.21652824
0.218353122,0.21682765
0.219050422,0.21687688
0.223236367,0.2166215
0.223236367,0.22213316
0.221143425,0.22246544
0.223236367,0.21949956
0.22253871,0.22388043
0.22253871,0.2196448
0.223236367,0.22182769
0.224631503,0.22206405
0.223934084,0.22447227
0.226026714,0.22379108
0.228119642,0.22513573
0.227421895,0.22754288
0.227421895,0.22780512
0.224631503,0.22689967
0.22532922,0.22503948
0.224631503,0.22615191
0.223934084,0.22534154
0.22253871,0.2242998
0.223236367,0.22261055
0.220445871,0.22359271
0.219748363,0.22082128
0.218353122,0.2197346
0.218353122,0.21659574
0.219003052,0.2162406
0.219003052,0.21657413
0.221122175,0.21804743
0.220415771,0.22025545
0.221828699,0.22008984
0.221122175,0.2208372
0.216883346,0.21945508
0.214764148,0.21605895
0.217589721,0.2146248
0.211938158,0.21638265
0.209818959,0.2109028
0.209112436,0.20990913
0.209112436,0.20805956
0.207699493,0.20935655
0.206993148,0.20692128
0.204167113,0.20689353
0.206993148,0.20409451
0.204873487,0.20649163
0.203460753,0.20394655
0.206286624,0.20356813
0.203460753,0.20547278
0.201341569,0.20395866
0.1978091,0.20049354
0.1978091,0.19684996
0.1978091,0.1968843
0.196395978,0.19676054
0.199221835,0.196579
0.1978091,0.1998276
0.197102815,0.19680797
0.196395978,0.19685403
0.195689559,0.196579
0.19427678,0.19644986
0.19427678,0.19424978
0.19498314,0.1941929
0.196395978,0.19418441
0.195689559,0.19643258
0.196395978,0.196579
0.19427678,0.1965243
0.19427678,0.19424978
0.196395978,0.19425642
0.19498314,0.196579
0.192157224,0.1941866
0.19427678,0.19112648
0.189331487,0.19205455
0.192157224,0.1890372
0.197102815,0.1913389
0.192157224,0.19781657
0.189331487,0.19127405
0.18791841,0.18796577
0.185799271,0.18773232
0.185092822,0.18681188
0.179440841,0.18669805
0.181560382,0.17898527
0.184386343,0.18194987
0.19150129,0.1849884
0.192935586,0.19089532
0.195804611,0.19278453
0.192935586,0.19663821
0.192935586,0.19243138
0.194369882,0.192481
0.196521938,0.19205455
0.195804611,0.196579
0.193652824,0.196579
0.19795619,0.19426349
0.200107932,0.19822676
0.200825334,0.20012388
0.19939062,0.20085834
0.19795619,0.19962493
0.205845833,0.19817142
0.207280144,0.20595334
0.206562966,0.20609966
0.196521938,0.20006102
0.197239041,0.19358876
0.196521938,0.19621778
0.196521938,0.19644205
0.196521938,0.19644205
0.200825334,0.196579
0.19795619,0.20093569
