Date,Adj Close,Close,High,Low,Open,Volume
09-06-2022,18.02491188,18.04800034,18.93300056,18.04100037,18.4810009,395574000
10-06-2022,16.95228958,16.97400093,17.6970005,16.86899948,17.60000038,465248000
13-06-2022,15.6269846,15.64700031,16.31200027,15.60599995,16,604153000
14-06-2022,15.81574249,15.83600044,16.06599998,15.4119997,15.73099995,469680000
15-06-2022,16.50585938,16.52700043,16.86800003,15.92599964,16.09499931,563936000
16-06-2022,15.58104229,15.60099983,15.94200039,15.40100002,15.85999966,545749000
17-06-2022,15.85968685,15.88000011,15.99499989,15.32800007,15.64799976,630334000
21-06-2022,16.54480934,16.56599998,17.00799942,16.40699959,16.47500038,483089000
22-06-2022,16.33907318,16.36000061,16.66200066,16.18000031,16.22599983,437135000
23-06-2022,16.20424271,16.22500038,16.58499908,15.85299969,16.5189991,463680000
24-06-2022,17.10409164,17.12599945,17.13999939,16.30999947,16.5,472153000
27-06-2022,16.84741974,16.86899948,17.32999992,16.62599945,17.31200027,427968000
28-06-2022,15.96155643,15.98200035,17.20199966,15.94499969,16.89999962,461149000
29-06-2022,15.52211857,15.54199982,15.81999969,15.17000008,15.81400013,482352000
30-06-2022,15.13960934,15.1590004,15.56700039,14.86200047,15.36100006,686070000
01-07-2022,14.50442123,14.52299976,15.06299973,14.3920002,14.89900017,577610000
05-07-2022,14.9448595,14.96399975,14.97099972,14.05500031,14.17500019,651397000
06-07-2022,15.11064625,15.13000011,15.31900024,14.78899956,15.01000023,529066000
07-07-2022,15.8377161,15.8579998,15.94499969,15.38899994,15.45600033,492903000
08-07-2022,15.81774139,15.8380003,16.03700066,15.38899994,15.43000031,467972000
11-07-2022,15.13261795,15.15200043,15.52700043,15.03800011,15.52600002,437321000
12-07-2022,15.0627079,15.08199978,15.43099976,14.87699986,15.26799965,458483000
13-07-2022,15.14460278,15.16399956,15.375,14.46500015,14.59000015,521918000
14-07-2022,15.35233593,15.37199974,15.47299957,14.72799969,15.1079998,456235000
15-07-2022,15.74183559,15.76200008,15.78199959,15.44499969,15.6590004,385935000
18-07-2022,16.08040237,16.10099983,16.89699936,16.00200081,16.30200005,670517000
19-07-2022,16.97026253,16.99200058,17.11000061,16.17200089,16.48600006,702366000
20-07-2022,17.78421974,17.80699921,17.93300056,16.8010006,16.9470005,760538000
21-07-2022,18.02690697,18.04999924,18.1439991,17.54500008,17.88500023,557049000
22-07-2022,17.29684448,17.31900024,17.96699905,17.13699913,17.89299965,536671000
25-07-2022,17.00222397,17.02400017,17.12400055,16.64900017,17.0189991,480748000
26-07-2022,16.51185226,16.53300095,16.91900063,16.47800064,16.88899994,397865000
27-07-2022,17.76724625,17.79000092,17.93600082,16.91300011,17.03199959,569776000
28-07-2022,17.96099281,17.98399925,18.13999939,17.44000053,17.97500038,474646000
29-07-2022,18.13976669,18.16300011,18.24399948,17.69199944,17.81299973,435460000
01-08-2022,18.4174118,18.44099998,18.84600067,17.98999977,18.18199921,476469000
02-08-2022,18.50230408,18.52599907,18.93799973,18.09199905,18.12199974,489527000
03-08-2022,18.86883163,18.89299965,18.96800041,18.13699913,18.18400002,418146000
04-08-2022,19.19042015,19.21500015,19.27400017,18.76000023,18.84900093,409652000
05-08-2022,18.96471024,18.98900032,19.22900009,18.66600037,18.80999947,386068000
08-08-2022,17.77023888,17.79299927,18.23900032,17.24200058,17.50200081,981859000
09-08-2022,17.06414413,17.08600044,17.4470005,16.72400093,17.25200081,668263000
10-08-2022,18.07385063,18.09700012,18.11800003,17.31699944,17.69799995,597422000
